Logement,Name,Type,Surface,Price,Lieu,Chambres,Pièces,Etage
Logement entier,Logement entier pour 2 personnes de 39m²,Logement entier,39 m²,N/A,"38 Rue Duranton, 75015 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 75m²,Chambre 3 de 10m2,10 m²,890€,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 75m²,Chambre 1 de 11m2,11 m²,890€,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 75m²,Chambre 2 de 15m2,15 m²,890€,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 75m²,Chambre 4 de 10m2,10 m²,890€,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement entier,Logement entier pour 4 personnes de 65m²,Logement entier,65 m²,N/A,"18 Rue Henri Barbusse, 75005 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"Rue Claude Bernard, 75005 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 40m²,Logement entier,40 m²,N/A,"21 Rue François Bonvin, 75015 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 4 personnes de 58m²,Logement entier,58 m²,N/A,"15 Bd des Invalides, 75007 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 22m²,Logement entier,22 m²,N/A,"Rue de l'Université, 75007 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 3 personnes de 40m²,Logement entier,40 m²,N/A,"18 Rue Simart, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 1 personne de 38m²,Logement entier,38 m²,N/A,"50 Rue des Rondeaux, Paris 20e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 2 personnes de 56m²,Chambre 2 de 11m2,11 m²,1000€,"27 Rue Championnet, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 2 personnes de 56m²,Chambre 1 de 14m2,14 m²,1100€,"27 Rue Championnet, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 37m²,Logement entier,37 m²,N/A,"75 Rue Monge, 75005 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 1 personne de 53m²,Chambre 2 de 17m2,17 m²,888€,"351 Rue des Pyrénées, 75020 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 1 personne de 53m²,Chambre 1 de 17m2,17 m²,888€,"351 Rue des Pyrénées, 75020 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 1 personne de 27m²,Logement entier,27 m²,N/A,"1 Rue d'Armenonville, Paris 17e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 40m²,Logement entier,40 m²,N/A,"24 Rue du Cherche-Midi, 75006 Paris, France",N/A,N/A,N/A
Logement entier,Logement en colocation pour 2 personnes de 45m²,Logement entier,45 m²,N/A,"20 Rue Joseph Dijon, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 44m²,Logement entier,44 m²,N/A,"39 Rue Saint-Fargeau, 75020 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 19m²,Logement entier,19 m²,N/A,"10 Rue de Picardie, 75003 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 3 de 15m2,15 m²,1180€,"21 Rue Daval, 75011 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 1 de 14m2,14 m²,1100€,"21 Rue Daval, 75011 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 2 de 14m2,14 m²,1180€,"21 Rue Daval, 75011 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 4 de 19m2,19 m²,1250€,"21 Rue Daval, 75011 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 6 personnes de 60m²,Logement entier,60 m²,N/A,"69 Rue de la Chapelle, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 3 personnes de 29m²,Logement entier,29 m²,N/A,"6 Rue Pierre l'Ermite, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 80m²,Chambre 1711,N/A,995€,rue Roger Bacon 75017 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 80m²,Chambre 1711,N/A,1045€,rue Roger Bacon 75017 Paris FRANCE,N/A,N/A,N/A
Logement entier,Studio de 32m²,Logement entier,32 m²,N/A,"135 Rue Didot, 75014 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 3 personnes de 50m²,Chambre 69910,N/A,1110€,cité Condorcet 75009 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 3 personnes de 50m²,Chambre 69908,N/A,1125€,cité Condorcet 75009 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 3 personnes de 50m²,Chambre 69909,N/A,1065€,cité Condorcet 75009 Paris FRANCE,N/A,N/A,N/A
Logement entier,Logement entier pour 5 personnes de 55m²,Logement entier,55 m²,N/A,"47 Bd Bessières, 75017 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 80m²,Chambre 1523,N/A,1040€,rue de Cronstadt 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 80m²,Chambre 1523,N/A,995€,rue de Cronstadt 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 80m²,Chambre 1523,N/A,945€,rue de Cronstadt 75015 Paris FRANCE,N/A,N/A,N/A
Logement entier,Logement en colocation pour 2 personnes de 17m²,Logement entier,17 m²,N/A,"26 Rue Marcadet, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 69621,N/A,1085€,rue de Saussure 75017 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 69620,N/A,1000€,rue de Saussure 75017 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 69622,N/A,1075€,rue de Saussure 75017 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 16159,N/A,1045€,boulevard Murat 75016 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 16159,N/A,1080€,boulevard Murat 75016 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 1597,N/A,1085€,rue des Morillons 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 1597,N/A,1055€,rue des Morillons 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 1597,N/A,1050€,rue des Morillons 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 110m²,Chambre 1597,N/A,1120€,rue des Morillons 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 7 personnes de 130m²,Chambre 69861,N/A,1080€,rue du Buisson Saint-Louis 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 7 personnes de 130m²,Chambre 69859,N/A,1070€,rue du Buisson Saint-Louis 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 7 personnes de 130m²,Chambre 69862,N/A,1070€,rue du Buisson Saint-Louis 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 7 personnes de 130m²,Chambre 69863,N/A,1070€,rue du Buisson Saint-Louis 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 100m²,Chambre 10,N/A,960€,rue Riquet 75019 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 100m²,Chambre 10,N/A,940€,rue Riquet 75019 Paris FRANCE,N/A,N/A,N/A
Logement entier,Studio de 39m²,Logement entier,39 m²,N/A,"38 Av. Marceau, 75008 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 27m²,Logement entier,27 m²,N/A,"8 Rue de Capri, 75012 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 20160,N/A,1000€,rue de Bagnolet 75020 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 20160,N/A,940€,rue de Bagnolet 75020 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 20160,N/A,1120€,rue de Bagnolet 75020 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 1011,N/A,1060€,rue de l'Aqueduc 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 1011,N/A,1080€,rue de l'Aqueduc 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 70m²,Chambre 1011,N/A,1040€,rue de l'Aqueduc 75010 Paris FRANCE,N/A,N/A,N/A
Logement entier,Logement en colocation pour 1 personne de 23m²,Logement entier,23 m²,N/A,6 Rue du Marché Popincourt 75011 Paris FR,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 1515,N/A,1135€,rue Dulac 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 1515,N/A,1060€,rue Dulac 75015 Paris FRANCE,N/A,N/A,N/A
Logement entier,Studio de 25m²,Logement entier,25 m²,N/A,"25 Rue du Chemin Vert, 75011 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 1 personne de 40m²,Logement entier,40 m²,N/A,"15 Rue Burq, Paris 18e Arrondissement, Île-de-France, France",N/A,N/A,N/A
Logement chez l'habitant,Logement chez l'habitant pour 1 personne de 116m²,Logement chez l'habitant,116 m²,N/A,"24 Rue de Turin, 75008 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 21m²,Logement entier,21 m²,N/A,"123 Rue de l'Université, 75007 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 1715,N/A,1145€,boulevard de Dixmude 75017 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 1715,N/A,980€,boulevard de Dixmude 75017 Paris FRANCE,N/A,N/A,N/A
Logement entier,Studio de 33m²,Logement entier,33 m²,N/A,"8 Rue André del Sarte, 75018 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 69566,N/A,1095€,rue de Vouillé 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 69568,N/A,1100€,rue de Vouillé 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 90m²,Chambre 69569,N/A,1025€,rue de Vouillé 75015 Paris FRANCE,N/A,N/A,N/A
Logement entier,Studio de 23m²,Logement entier,23 m²,N/A,"10 Av. de Flandre, 75019 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 90m²,Chambre 109,N/A,1050€,rue de l'Aqueduc 75010 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 5 personnes de 90m²,Chambre 109,N/A,1050€,rue de l'Aqueduc 75010 Paris FRANCE,N/A,N/A,N/A
Logement entier,Logement en colocation pour 3 personnes de 60m²,Logement entier,60 m²,N/A,rue de l'Abbé Groult 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 6 personnes de 150m²,Chambre 69624,N/A,1140€,rue Tiquetonne 75001 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 6 personnes de 150m²,Chambre 69626,N/A,1225€,rue Tiquetonne 75001 Paris FRANCE,N/A,N/A,N/A
Logement entier,Logement en colocation pour 6 personnes de 110m²,Logement entier,110 m²,N/A,rue Tiphaine 75015 Paris FRANCE,N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 15 personnes de 400m²,Chambre 1 de 15m2,15 m²,950€,"Pl. de la République, 92220 Bagneux, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 15 personnes de 400m²,Chambre 13 de 14m2,14 m²,1150€,"Pl. de la République, 92220 Bagneux, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 15 personnes de 400m²,Chambre 12 de 29m2,29 m²,1100€,"Pl. de la République, 92220 Bagneux, France",N/A,N/A,N/A
