Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal,Arrondissement
Appartement à louer,25.0,1193,"Vivienne-Gaillon, Paris 2ème (75002)",1.0,2.0,,75002,2.0
Duplex à louer,127.3,4380,Paris 12ème (75012),4.0,5.0,3.0,75012,12.0
Appartement à louer,94.0,2890,"Auteuil Sud, Paris 16ème (75016)",2.0,3.0,5.0,75016,16.0
Appartement à louer,11.0,629,"Saint Placide, Paris 6ème (75006)",0.0,1.0,7.0,75006,6.0
Appartement à louer,82.8,4700,"Triangle d'Or, Paris 8ème (75008)",2.0,3.0,,75008,8.0
Studio à louer,15.0,850,"Les Halles, Paris 1er (75001)",0.0,1.0,,75001,1.0
Appartement à louer,60.8,1900,"Muette Nord, Paris 16ème (75016)",1.0,2.0,5.0,75016,16.0
Appartement à louer,245.7,11000,"Chaillot, Paris 16ème (75016)",4.0,7.0,3.0,75016,16.0
Appartement à louer,75.0,3300,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,26.0,1185,"Mairie, Paris 8ème (75008)",1.0,2.0,6.0,75008,8.0
Appartement à louer,159.1,9000,Paris 17ème (75017),3.0,4.0,3.0,75017,17.0
Appartement à louer,34.5,1650,"Île de la Cité, Paris 4ème (75004)",1.0,2.0,,75004,4.0
Appartement à louer,100.5,3205,"Mairie, Paris 8ème (75008)",2.0,4.0,,75008,8.0
Appartement à louer,32.0,1205,"La Fourche-Guy Môquet, Paris 17ème (75017)",1.0,2.0,,75017,17.0
Appartement à louer,35.0,1269,"Violet Commerce, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,68.0,2795,"Gros Caillou, Paris 7ème (75007)",2.0,3.0,,75007,7.0
Appartement à louer,120.0,7500,"Saint Merri, Paris 4ème (75004)",3.0,5.0,,75004,4.0
Appartement à louer,99.9,3650,"Saint Lambert, Paris 15ème (75015)",3.0,5.0,,75015,15.0
Appartement à louer,122.2,4900,"Chaillot, Paris 16ème (75116)",3.0,5.0,6.0,75116,16.0
Appartement à louer,128.5,4500,"Mouton Duvernet, Paris 14ème (75014)",3.0,5.0,4.0,75014,14.0
Appartement à louer,151.0,6200,"Muette Nord, Paris 16ème (75016)",3.0,4.0,,75016,16.0
Appartement à louer,159.2,5200,"Pereire-Malesherbes, Paris 17ème (75017)",3.0,5.0,3.0,75017,17.0
Appartement à louer,43.6,1480,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1.0,2.0,6.0,75018,18.0
Appartement à louer,22.0,1050,Paris 17ème (75017),0.0,1.0,,75017,17.0
Appartement à louer,65.1,3500,"Saint Merri, Paris 4ème (75004)",2.0,3.0,2.0,75004,4.0
Appartement à louer - Première occupation,193.0,16000,"Courcelles-Wagram, Paris 17ème (75017)",3.0,6.0,,75017,17.0
Appartement à louer,298.0,12000,"Porte Dauphine, Paris 16ème (75016)",5.0,7.0,4.0,75016,16.0
Hôtel particulier à louer,270.3,11000,"Hoche-Friedland, Paris 8ème (75008)",4.0,7.0,,75008,8.0
Appartement à louer,42.0,1365,"Jean Moulin-Porte d'Orléans, Paris 14ème (75014)",1.0,2.0,,75014,14.0
Appartement à louer,66.0,2035,"Jean Moulin-Porte d'Orléans, Paris 14ème (75014)",1.0,2.0,2.0,75014,14.0
Appartement à louer,53.0,2780,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer - Première occupation,43.7,1500,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",1.0,2.0,,75020,20.0
Appartement à louer,79.0,2662,"Citroën-Boucicaut, Paris 15ème (75015)",2.0,3.0,6.0,75015,15.0
Appartement à louer,68.4,2910,"Porte Dauphine, Paris 16ème (75016)",2.0,3.0,4.0,75016,16.0
Duplex à louer,71.0,2850,"Porte Dauphine, Paris 16ème (75016)",1.0,2.0,,75016,16.0
Appartement à louer,48.5,1650,"Auteuil Sud, Paris 16ème (75016)",1.0,2.0,,75016,16.0
Appartement à louer,165.0,6495,"Courcelles-Wagram, Paris 17ème (75017)",4.0,5.0,,75017,17.0
Appartement à louer,66.2,3500,"Saint Merri, Paris 4ème (75004)",2.0,3.0,,75004,4.0
Appartement à louer,60.0,2300,"Ecole Militaire, Paris 7ème (75007)",1.0,2.0,,75007,7.0
Appartement à louer,29.0,1090,"Lafayette-Richer, Paris 9ème (75009)",0.0,1.0,4.0,75009,9.0
Appartement à louer,27.0,1076,"Bastille-Popincourt, Paris 11ème (75011)",0.0,1.0,,75011,11.0
Appartement à louer,95.6,3585,"Emeriau-Zola, Paris 15ème (75015)",2.0,4.0,25.0,75015,15.0
Appartement à louer,125.0,12500,Paris 15ème (75015),2.0,5.0,,75015,15.0
Appartement à louer,68.0,1924,"Pont de Flandre, Paris 19ème (75019)",2.0,3.0,4.0,75019,19.0
Appartement à louer,40.7,1310,"Danube-Porte des Lilas, Paris 19ème (75019)",1.0,2.0,1.0,75019,19.0
Appartement à louer,129.0,3565,"Croulebarbe, Paris 13ème (75013)",4.0,5.0,4.0,75013,13.0
Appartement à louer,65.0,2190,"Auteuil Nord, Paris 16ème (75016)",1.0,2.0,,75016,16.0
Appartement à louer,35.6,1570,"Triangle d'Or, Paris 8ème (75008)",0.0,1.0,,75008,8.0
Appartement à louer,24.3,1205,"Batignolles-Cardinet, Paris 17ème (75017)",0.0,1.0,,75017,17.0
Appartement à louer - Première occupation,15.6,1390,"Legendre-Lévis, Paris 17ème (75017)",0.0,1.0,,75017,17.0
Appartement à louer,32.0,1450,"Pasteur Montparnasse, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,40.0,2000,"Ecole Militaire, Paris 7ème (75007)",1.0,2.0,6.0,75007,7.0
Appartement à louer,300.0,14500,"Porte Dauphine, Paris 16ème (75016)",5.0,10.0,2.0,75016,16.0
Appartement à louer,78.0,2556,"Citroën-Boucicaut, Paris 15ème (75015)",2.0,3.0,5.0,75015,15.0
Appartement à louer,93.0,2950,"Dupleix-Motte Picquet, Paris 15ème (75015)",2.0,4.0,6.0,75015,15.0
Appartement à louer,64.0,2490,"Auteuil Nord, Paris 16ème (75116)",2.0,3.0,1.0,75116,16.0
Appartement à louer,114.0,6788,"Elysées-Madeleine, Paris 8ème (75008)",2.0,4.0,,75008,8.0
Appartement à louer,102.0,2990,"Auteuil Nord, Paris 16ème (75016)",2.0,4.0,3.0,75016,16.0
Appartement à louer,132.0,4800,"Chaillot, Paris 16ème (75016)",3.0,5.0,,75016,16.0
Appartement à louer,63.0,2800,"Odéon, Paris 6ème (75006)",1.0,3.0,4.0,75006,6.0
