Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal
Studio à louer,20.0,1103,"Sorbonne, Paris 5ème (75005)",0.0,1.0,4,75005
Appartement à louer,35.0,990,"Olympiades-Choisy, Paris 13ème (75013)",0.0,1.0,6,75013
Loft à louer,35.4,1130,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",0.0,1.0,3,75018
Appartement à louer,33.0,1090,"Saint Blaise, Paris 20ème (75020)",0.0,1.0,4,75020
Appartement à louer,26.6,907,"Montmartre, Paris 18ème (75018)",0.0,1.0,1,75018
Appartement à louer,26.0,1129,"Saint Lambert, Paris 15ème (75015)",0.0,1.0,4,75015
Appartement à louer,35.0,1145,"Manin-Jaurès, Paris 19ème (75019)",1.0,2.0,3,75019
Appartement à louer,70.0,1080,"Louis Blanc-Aqueduc, Paris 10ème (75010)",4.0,4.0,4,75010
Studio à louer,29.0,960,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",0.0,1.0,7,75020
Appartement à louer,9.0,660,Paris 6ème (75006),0.0,1.0,4,75006
Appartement à louer,33.1,1125,"Mouton Duvernet, Paris 14ème (75014)",1.0,2.0,1,75014
Appartement à louer,33.5,1190,Paris 16ème (75016),0.0,1.0,8,75016
Appartement à louer,21.5,889,"Pernety, Paris 14ème (75014)",0.0,1.0,3,75014
Appartement à louer,10.3,488,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",0.0,1.0,1,75018
Studio à louer - logement étudiant,19.0,650,"Lafayette-Richer, Paris 9ème (75009)",0.0,1.0,4,75009
Appartement à louer,70.0,1060,"Louis Blanc-Aqueduc, Paris 10ème (75010)",4.0,4.0,4,75010
Appartement à louer,19.0,1050,"Notre Dame des Champs, Paris 6ème (75006)",0.0,1.0,5,75006
Studio à louer,19.0,945,"Pont de Flandre, Paris 19ème (75019)",0.0,1.0,6,75019
Studio à louer,33.0,1150,"Bassin de la Villette, Paris 19ème (75019)",1.0,2.0,5,75019
Appartement à louer,24.0,995,"La Chapelle-Marx Dormoy, Paris 18ème (75018)",1.0,2.0,2,75018
